,Package Name,App Name,Bigrams
0,com.burockgames.timeclocker,StayFree - Stay Focused,"stayfree,stayfree stayfree,screen screen,time time,tracker tracker,limit limit,app app,usage usage,self self,control control,productivity productivity,phone phone,addiction addiction,controller controller,app app,allows allows,show show,much much,time time,spend spend,smartphone smartphone,help help,focus focus,restricting restricting,usage usage,apps apps,set set,usage usage,limit limit,apps apps,receive receive,alert alert,exceeding exceeding,usage usage,limit limit,also also,view view,detail detail,usage usage,statistic statistic,usage usage,history history,make make,stayfree stayfree,special special,highest highest,rated rated,screen screen,time time,self self,control control,app app,extremely extremely,fast fast,userfriendly userfriendly,interface interface,accurate accurate,usage usage,statistic statistic,crossplatform crossplatform,usage usage,statistic statistic,analysis analysis,quick quick,customer customer,support support,battery battery,friendly friendly,totally totally,adfree adfree,stayfree stayfree,screen screen,time time,tracker tracker,limit limit,app app,usage usage,help help,overcome overcome,phone phone,addiction addiction,stay stay,focused focused,selfcontrol selfcontrol,reduce reduce,screen screen,time time,reduce reduce,distraction distraction,boost boost,productivity productivity,unplug unplug,often often,increase increase,digital digital,wellbeing wellbeing,spend spend,quality quality,time time,family family,reduce reduce,wasted wasted,time time,digital digital,detox detox,apps apps,feature feature,app app,usage usage,history history,view view,chart chart,statistic statistic,usage usage,history history,overuse overuse,reminder reminder,notify notify,spending spending,much much,time time,app app,start start,digital digital,detox detox,block block,mode mode,temporarily temporarily,block block,application application,overusing overusing,crossplatform crossplatform,stayfree stayfree,multiplatform multiplatform,save save,time time,device device,linking linking,android android,app app,chrome chrome,firefox firefox,extension extension,focus focus,mode mode,create create,schedule schedule,distracting distracting,apps apps,stay stay,focused focused,sleep sleep,mode mode,schedule schedule,sleep sleep,time time,disable disable,apps apps,pause pause,apps apps,pause pause,distracting distracting,apps apps,stop stop,using using,rest rest,day day,export export,mode mode,export export,usage usage,history history,csv csv,microsoft microsoft,excel excel,file file,inspiring inspiring,quotation quotation,show show,inspiring inspiring,quotation quotation,encourage encourage,productivity productivity,le le,usage usage,phone phone,interface interface,customization customization,five five,theme theme,customize customize,app app,want want,lock lock,mode mode,requires requires,password password,change change,setting setting,widget widget,show show,used used,apps apps,total total,usage usage,nice nice,widget widget,pie pie,chart chart,graph graph,view view,daily daily,monthly monthly,application application,usage usage,percentage percentage,app app,us us,accessibility accessibility,service service,android android,accessibility accessibility,service service,used used,detecting detecting,website website,turn turn,blocking blocking,website website,requested requested,block block,information information,maintained maintained,accordance accordance,privacy privacy,policy policy,sensor sensor,tower tower,using using,respective respective,permission permission,active active,consent consent,enduser enduser,important important,wed wed,really really,appreciate appreciate,could could,rate rate,u u,five five,star star,google google,play play,rating rating,important important,u u,establishing establishing,trust trust,user user,base base,suggestion suggestion,want want,see see,something something,improved improved,dont dont,hesitate hesitate,reach reach,contact contact,u u,love love,hearing hearing,user user,getting getting,feedback feedback,run run,issue issue,app app,suggestion suggestion,improve improve,please please,send send,u u,email email,hellostayfreegmailcom hellostayfreegmailcom,stayfree stayfree,extension extension,stayfree stayfree,help help,stay stay,focused focused,avoid avoid,distracting distracting,website website,desktop desktop,well well,available available,firefox firefox,google google,chrome chrome,store"
1,com.appbuck3t.screentime,Screen Time - Stay Focused,"screen,time time,limit limit,phone phone,usage usage,stay stay,focused focused,take take,digital digital,wellbeing wellbeing,app app,starting starting,point point,make make,available available,android android,user user,lollipop lollipop,offer offer,deeper deeper,enhanced enhanced,insight insight,powerful powerful,customization customization,screen screen,time time,even even,allows allows,set set,daily daily,app app,usage usage,limit limit,enter enter,focus focus,mode mode,setting setting,downtime downtime,selected selected,period period,better better,parental parental,control control,break break,phone phone,addiction addiction,take take,charge charge,day day,screen screen,time time,restrain restrain,stay stay,focused focused,screen screen,time time,tracker tracker,manager manager,parental parental,control control,limit limit,app app,usage usage,smartphone smartphone,track track,monitor monitor,screen screen,time time,powerful powerful,screen screen,time time,tracker tracker,set set,daily daily,perapp perapp,limit limit,limit limit,screen screen,time time,set set,focus focus,mode mode,timing timing,allow allow,important important,apps apps,limit limit,screen screen,time time,compare compare,screen screen,time time,previous previous,data data,limit limit,app app,usage usage,control control,cut cut,screen screen,time time,powerful powerful,screen screen,time time,tracker tracker,control control,childrens childrens,excessive excessive,screen screen,time time,enhanced enhanced,parental parental,control control,compare compare,screen screen,time time,previous previous,data data,limit limit,phone phone,usage usage,effectively effectively,limit limit,phone phone,usage usage,time time,get get,detailed detailed,view view,screen screen,time time,usage usage,get get,daily daily,screen screen,time time,notification notification,drawer drawer,beautiful beautiful,graph graph,statistic statistic,digital digital,detox detox,better better,life life,help help,spend spend,quality quality,time time,wisely wisely,disconnect disconnect,want want,limit limit,app app,usage usage,limit limit,phone phone,usage usage,daily daily,app app,limit limit,let let,set set,limit limit,much much,use use,apps apps,focus focus,mode mode,block block,selected selected,apps apps,selected selected,time time,frame frame,individual individual,ending ending,increasingly increasingly,dependent dependent,cell cell,phone phone,individual individual,dont dont,underst underst,invest invest,great great,deal deal,energy energy,consistently consistently,application application,game game,utilizing utilizing,screen screen,time time,readily readily,comprehend comprehend,utilization utilization,cell cell,phone phone,regardless regardless,whether whether,game game,application application,introduce introduce,screen screen,time time,individual individual,time time,executive executive,mindfulness mindfulness,effective effective,individual individual,deal deal,time time,better better,normally normally,dont dont,underst underst,invest invest,great great,deal deal,energy energy,certain certain,application application,screen screen,time time,tracker tracker,make make,increasingly increasingly,mindful mindful,propensity propensity,utilizing utilizing,phone phone,help help,limit limit,phone phone,usage usage,spend spend,quality quality,time time,wisely wisely,perhaps perhaps,observed observed,large large,number number,recording recording,possibly possibly,invested invested,excessive excessive,amount amount,energy energy,informal informal,community community,daily daily,weekly weekly,monthly monthly,app app,usage usage,screen screen,time time,tracker tracker,show show,detailed detailed,view view,mobile mobile,phone phone,usage usage,accurate accurate,use use,phone phone,long long,used used,screen screen,time time,tracker tracker,better better,allocate allocate,mobile mobile,phone phone,usage usage,time time,spend spend,quality quality,time time,wisely wisely,screen screen,time time,tracker tracker,know know,daily daily,duration duration,app app,used used,daily daily,app app,limit limit,app app,better better,parental parental,control control,set set,daily daily,screen screen,time time,limit limit,app app,limit limit,app app,usage usage,usage usage,time time,exceeds exceeds,notified notified,page page,similar similar,app app,lock lock,displayed displayed,remind remind,usage usage,app app,exceeded exceeded,daily daily,focus focus,mode mode,apps apps,better better,parental parental,control control,set set,daily daily,focus focus,mode mode,app app,selected selected,block block,focus focus,mode mode,notified notified,page page,similar similar,app app,lock lock,displayed displayed,remind remind,app app,allowed allowed,focus focus,mode mode,screen screen,time time,limit limit,phone phone,usage usage,stay stay,focused focused,deserves deserves,try try,right right,away away,simplest simplest,useful useful,screen screen,time time,tracker tracker,parental parental,control control,application application,help help,spend spend,quality quality,time time,wisely wisely,always always,excited excited,hear hear,problem problem,suggestion suggestion,feel feel,free free,contact contact,u u,screen screen,time time,restrain restrain,stay stay,focused focused,upload upload,information information,including including,usage usage,app app,data data,phone"
2,tech.miidii.offscreen_android,OffScreen - Less Screen Time,"offscreen,help help,track track,phone phone,usage usage,keep keep,stay stay,focus focus,offscreen offscreen,track track,screen screen,time time,set set,screen screen,time time,goal goal,get get,daily daily,insight insight,see see,screen screen,time time,activity activity,pickup pickup,checking checking,every every,walking walking,life life,stationary stationary,life life,last last,pickup pickup,first first,pickup pickup,best best,break break,sleep sleep,time time,read read,sleep sleep,data data,health health,app app,focus focus,mode mode,support support,three three,mode mode,pomodoro pomodoro,countdown countdown,time time,accumulation accumulation,support support,lock lock,screen screen,flip flip,screen screen,focus focus,need need,use use,phone phone,look look,dictionary dictionary,use use,application application,concentration concentration,process process,set set,concentration concentration,app app,whitelist whitelist,category category,focus focus,session session,tag tag,pause pause,time time,need need,phone phone,help help,study study,search search,youre youre,focus focus,mode mode,visualize visualize,share share,data data,view view,data data,weekmonthyear weekmonthyear,view view,welldesigned welldesigned,share share,card card,ready ready,breaking breaking,digital digital,detox detox,challenge challenge,screen screen,time time,challenge challenge,pick pick,challenge challenge,sleep sleep,challenge"
3,phosphorus.app.usage.screen.time,Digitox : Screen Time,"trusted,globally globally,five five,hundred hundred,thousand thousand,user user,stop stop,screen screen,addiction addiction,digital digital,wellbeing wellbeing,feel feel,getting getting,addicted addicted,smartphone smartphone,able able,feel feel,real real,life life,think think,losing losing,real real,social social,life life,wake wake,phone phone,side side,sleep sleep,next next,answered answered,yes yes,question question,might might,digital digital,addicted addicted,let let,u u,help help,improve improve,digital digital,wellbeing wellbeing,digital digital,health health,fight fight,nomophobia nomophobia,nomophobia nomophobia,considered considered,disorder disorder,modern modern,world world,refers refers,discomfort discomfort,anxiety anxiety,caused caused,contact contact,phone phone,computer computer,digital digital,screen screen,digitox digitox,help help,understand understand,digital digital,habit habit,create create,digital digital,usage usage,limit limit,selected selected,application application,let let,digitox digitox,remind remind,wisely wisely,exceed exceed,application application,limit limit,reduce reduce,screen screen,time time,stay stay,focused focused,reduce reduce,distraction distraction,increase increase,efficiency efficiency,productivity productivity,unplug unplug,often often,stop stop,phubbing phubbing,increase increase,digital digital,wellbeing wellbeing,break break,phone phone,addiction addiction,manage manage,screen screen,time time,spend spend,quality quality,time time,family family,reduce reduce,wasted wasted,time time,digital digital,diet diet,key key,feature feature,daily daily,understanding understanding,digital digital,habit habit,screen screen,time time,daily daily,usage usage,statistic statistic,categorised categorised,screen screen,time time,digital digital,usage usage,report report,different different,period period,today today,yesterday yesterday,last last,seven seven,day day,digital digital,limit limit,reminder reminder,overuse overuse,alarm alarm,overview overview,network network,statistic statistic,easy easy,use use,battery battery,friendly friendly,number number,unlocks unlocks,notification notification,supported supported,android android,device device,parental parental,control control,setting setting,pin pin,app app,limit limit,categorise categorise,apps apps,see see,main main,purpose purpose,phone phone,predefined predefined,category category,edit edit,title title,match match,life life,style style,game game,music music,movie movie,video video,photo photo,image image,social social,communication communication,news news,magazine magazine,map map,navigation navigation,productivity productivity,health health,fitness fitness,app app,respect respect,privacy privacy,never never,collect collect,share share,private private,usage usage,data data,rest rest,assured assured,everything everything,see see,application application,stay stay,phone phone,support support,u u,thanks thanks,using using,app app,wed wed,really really,appreciate appreciate,could could,rate rate,u u,five five,star star,google google,play play,rating rating,important important,u u,concern concern,suggestion suggestion,please please,let let,u u,know know,take take,action action,aware aware,digital digital,life life,keep keep,digital digital,wellbeing wellbeing,high high,possible possible,usage usage,accessibility accessibility,api api,purpose purpose,using using,service service,observe observe,app app,action action,show show,overuse overuse,reminder reminder,instantly instantly,dont dont,give give,permission permission,wont wont,warned warned,exceed exceed,limit limit,data data,collected collected,service service,digitox digitox,app app,usage usage,analytics analytics,tool tool,get get,package package,display display,usage usage,information information,user user,thats thats,queryallpackages queryallpackages,permission permission,required required,app app,work work,see see,usage usage,permission permission,screenshots screenshots,video video,well"
4,com.ezlapp.screen.time,Screen Time,"screen,time time,manage manage,time time,mobile mobile,apps apps,often often,forgot forgot,reallife reallife,spend spend,much much,time time,mobile mobile,phone phone,falling falling,deep deep,game game,social social,network network,enough enough,time time,study study,work work,family family,reallife reallife,activity activity,download download,screen screen,time time,remind remind,important important,thing thing,life life,screen screen,time time,set set,limit limit,time time,using using,app app,example example,set set,maximum maximum,time time,use use,facebook facebook,twitter twitter,30min 30min,online online,excess excess,limit limit,screen screen,time time,warning warning,bring bring,back back,reallife reallife,screen screen,time time,also also,give give,information information,time time,usage usage,apps apps,know know,much much,time time,spent spent,apps apps,app app,used used,aslo aslo,added added,applock applock,help help,protect protect,private private,data data,enable enable,applock applock,feature feature,protect protect,sensitive sensitive,information information,screen screen,time time,app app,version version,one one,hundred hundred,one one,big big,update update,guest guest,mode mode,allow allow,block block,guest guest,user user,using using,apps apps,guest guest,mode mode,never never,worry worry,one one,borrow borrow,phone phone,keep keep,privacy privacy,highest highest,level level,time time,block block,allow allow,using using,app app,certain certain,time time,example example,block block,using using,facebook facebook,ten ten,pm pm,spent spent,time time,sleep sleep,activity"
5,com.google.android.apps.wellbeing,Digital Wellbeing,"see,complete complete,picture picture,digital digital,habit habit,disconnect disconnect,want want,get get,daily daily,view view,digital digital,habit habit,frequently frequently,use use,different different,apps apps,many many,notification notification,receive receive,often often,check check,phone phone,unlock unlock,device device,disconnect disconnect,want want,daily daily,app app,timer timer,let let,set set,limit limit,much much,use use,apps apps,bedtime bedtime,mode mode,reminds reminds,switch switch,night night,setting setting,schedule schedule,fade fade,screen screen,grayscale grayscale,disturb disturb,silence silence,notification notification,good good,night night,sleep sleep,focus focus,mode mode,let let,pause pause,distracting distracting,apps apps,single single,tap tap,better better,focus focus,time time,also also,set set,schedule schedule,turn turn,focus focus,mode mode,automatically automatically,reduce reduce,distraction distraction,youre youre,work work,school school,home home,get get,started started,look look,digital digital,wellbeing wellbeing,phone phone,setting setting,menu"
6,com.app.floatingapptimer.com,Screen Time Digital Wellbeing,"stayoff,screen screen,time time,phone phone,usage usage,tracker tracker,time time,hand hand,save save,hour hour,every every,day day,app app,blocker blocker,get get,better better,sleep sleep,limit limit,screen screen,time time,much much,screen screen,time time,apps apps,use use,trouble trouble,sleeping sleeping,unhappy unhappy,want want,limit limit,phone phone,use use,hobby hobby,want want,stop stop,phone phone,addiction addiction,watch watch,much much,youtube youtube,want want,play play,le le,game game,try try,stayoff stayoff,get get,space space,screen screen,stayoff stayoff,best best,screen screen,time time,tracker tracker,app app,blocker blocker,one one,app app,free free,detailed detailed,screen screen,time time,phone phone,time time,every every,day day,every every,week week,free free,apps apps,tracking tracking,many many,time time,open open,apps apps,free free,weekly weekly,monthly monthly,summary summary,free free,interesting interesting,app app,usage usage,statistic statistic,long long,term term,average average,improvement improvement,digital digital,wellbeing wellbeing,hour hour,hour hour,spend spend,time time,phone phone,easy easy,slip slip,phone phone,addiction addiction,want want,prevent prevent,many many,interesting interesting,thing thing,done done,instead instead,phone phone,use use,harm harm,two two,way way,one one,using using,phone phone,bed bed,make make,sleep sleep,much much,worse worse,sleep sleep,extremely extremely,important important,two two,using using,phone phone,first first,thing thing,waking waking,cause cause,le le,happy happy,rest rest,day day,digital digital,wellbeing wellbeing,day day,important important,good good,sleep sleep,essential essential,longevity longevity,health health,pro pro,membership membership,get get,access access,pro pro,feature feature,allow allow,take take,full full,control control,phone phone,usage usage,always always,see see,app app,time time,screen screen,really really,effective effective,app app,blocker blocker,app app,time time,day day,screen screen,time time,notification notification,people people,average average,spend spend,four four,hour hour,day day,phone phone,thats thats,lot lot,time time,wake wake,go go,sleep sleep,average average,twelve twelve,hour hour,thats thats,thirty-three thirty-three,day day,track track,apps apps,day day,read read,interesting interesting,stats stats,phone phone,usage usage,average average,day day,worst worst,day day,used used,apps apps,percentage percentage,day day,screen screen,time time,day day,use use,tracking tracking,day day,slacking slacking,total total,week week,time time,total total,month month,time time,get get,stayoff stayoff,save save,time time,sleep sleep,well"
7,master.app.screentime,Screen Time - Restrain yoursel,"people,becoming becoming,addicted addicted,mobile mobile,phone phone,whether whether,adult adult,child child,whether whether,time time,dinner dinner,party party,problem problem,mobile mobile,addiction addiction,become become,serious serious,people people,simply simply,dont dont,realize realize,spend spend,lot lot,time time,every every,day day,apps apps,game game,using using,screen screen,time time,better better,understand understand,usage usage,mobile mobile,phone phone,whether whether,game game,app app,install install,screen screen,time time,person person,time time,management management,awareness awareness,successful successful,person person,manage manage,time time,better better,usually usually,dont dont,realize realize,spend spend,lot lot,time time,application application,screen screen,time time,make make,aware aware,habit habit,using using,phone phone,make make,adjustment adjustment,accordingly accordingly,maybe maybe,watched watched,many many,video video,maybe maybe,spent spent,much much,time time,social social,network network,app app,daily daily,usage usage,screen screen,time time,show show,detailed detailed,view view,daily daily,mobile mobile,phone phone,usage usage,accurate accurate,use use,phone phone,hour hour,apps apps,opened opened,long long,used used,screen screen,time time,better better,allocate allocate,mobile mobile,phone phone,usage usage,time time,screen screen,time time,know know,duration duration,hour hour,use use,type type,app app,used used,app app,weekly weekly,usage usage,week week,app app,usage usage,checking checking,statistic statistic,mobile mobile,phone phone,usage usage,last last,week week,know know,daily daily,mobile mobile,phone phone,usage usage,trend trend,app app,category category,limit limit,set set,daily daily,duration duration,limit limit,app app,type type,app app,set set,different different,duration duration,day day,weekend weekend,game game,usage usage,time time,set set,different different,time time,limit limit,day day,individually individually,usage usage,time time,arrives arrives,notified notified,page page,similar similar,app app,lock lock,displayed displayed,remind remind,usage usage,app app,category category,overtime overtime,app app,always always,allowed allowed,list list,important important,application application,mobile mobile,phone phone,text text,message message,telephone telephone,call call,etc etc,whitelisted whitelisted,application application,use use,application application,longer longer,restricted restricted,affect affect,use use,upload upload,information information,including including,usage usage,app app,data data,phone"
8,com.actiondash.playstore,ActionDash: Screen Time Helper,"trusted,globally globally,one one,million million,user user,break break,phone phone,addiction addiction,featured featured,google google,essential essential,app app,play play,store store,available available,seventeen seventeen,global global,language language,including including,english english,german german,spanish spanish,french french,etc etc,actiondash actiondash,take take,digital digital,wellbeing wellbeing,app app,starting starting,point point,make make,available available,android android,user user,actiondash actiondash,help help,find find,phonelife phonelife,balance balance,overcome overcome,phone phone,addiction addiction,also also,help help,selfcontrol selfcontrol,boost boost,productivity productivity,showing showing,much much,time time,spend spend,favorite favorite,apps apps,set set,app app,usage usage,limit limit,enter enter,focus focus,mode mode,actiondash actiondash,reduce reduce,screen screen,time time,stay stay,focused focused,reduce reduce,distraction distraction,detect detect,noisy noisy,apps apps,increase increase,efficiency efficiency,productivity productivity,unplug unplug,often often,stop stop,phubbing phubbing,increase increase,digital digital,wellbeing wellbeing,break break,phone phone,addiction addiction,manage manage,screen screen,time time,spend spend,quality quality,time time,family family,reduce reduce,wasted wasted,time time,digital digital,diet diet,key key,feature feature,get get,daily daily,view view,digital digital,habit habit,screen screen,time time,much much,use use,apps apps,total total,app app,launch launch,history history,frequently frequently,use use,different different,apps apps,notification notification,history history,many many,notification notification,receive receive,unlock unlock,history history,often often,check check,phone phone,unlock unlock,device device,sleep sleep,mode mode,schedule schedule,sleep sleep,time time,disable disable,apps apps,stay stay,focused focused,selfcontrol selfcontrol,focus focus,mode mode,let let,pause pause,distracting distracting,apps apps,single single,tap tap,better better,focus focus,time time,also also,set set,schedule schedule,turn turn,focus focus,mode mode,automatically automatically,reduce reduce,distraction distraction,youre youre,work work,school school,home home,app app,usage usage,limit limit,temporarily temporarily,block block,application application,overusing overusing,stay stay,focused focused,deeper deeper,experience experience,enhanced enhanced,insight insight,screen screen,time time,breakdown breakdown,usage usage,average average,global global,usage usage,average average,app app,session session,length length,breakdown"
9,com.mindefy.phoneaddiction.mobilepe,YourHour - ScreenTime Control,"trusted,globally globally,two two,million million,user user,curing curing,phone phone,addiction addiction,best best,tailored tailored,curated curated,solution solution,awaken awaken,selfrealization selfrealization,excessive excessive,usage usage,available available,twenty-one twenty-one,global global,language language,including including,english english,german german,spanish spanish,french french,etc etc,get get,personalized personalized,challenge challenge,recommendation recommendation,break break,habit habit,loop loop,time time,feel feel,getting getting,addicted addicted,smartphone smartphone,able able,stay stay,focused focused,waking waking,sleeping sleeping,next next,always always,affecting affecting,personal personal,professional professional,life life,lately lately,feel feel,like like,losing losing,control control,decreasing decreasing,productivity productivity,got got,smart smart,digital digital,solution solution,achieve achieve,digital digital,wellness wellness,app app,give give,variety variety,fun fun,userfriendly userfriendly,personalized personalized,feature feature,help help,track track,control control,usage usage,key key,feature feature,yourhour yourhour,dashboard dashboard,gateway gateway,complete complete,day day,dashboard dashboard,provides provides,essential essential,information information,one one,place place,keep keep,track track,usage usage,time time,“ “,unlock unlock,count count,thereby thereby,give give,comparative comparative,infographic infographic,view view,today today,past past,seven seven,day day,activity activity,goal goal,spot spot,know know,level level,addiction addiction,analyzing analyzing,data data,past past,seven seven,day day,define define,category category,phone phone,addict addict,user user,currently currently,belong belong,listed listed,six six,category category,visavis visavis,addicted addicted,obsessed obsessed,dependent dependent,habitual habitual,achiever achiever,champion champion,clock clock,timer timer,see see,day day,slip slip,floating floating,timer timer,one one,unique unique,feature feature,show show,realtime realtime,statistic statistic,appears appears,apps apps,user user,see see,time time,slipping slipping,easily easily,dragged dragged,dropped dropped,anywhere anywhere,screen screen,would would,even even,change change,color color,green green,amber amber,red red,highlighting highlighting,preset preset,limit limit,reached reached,dont dont,block block,notification notification,call call,want want,user user,best best,judge judge,time time,tap tap,app app,section section,show show,comprehensive comprehensive,insight insight,progress progress,bar bar,much much,individual individual,apps apps,used used,set set,limit limit,numerous numerous,setting setting,customized customized,per per,preference preference,phone phone,daily daily,routine routine,timeline timeline,sequential sequential,diary diary,whats whats,cooking cooking,around around,whole whole,day day,go go,recording recording,every every,minute minute,detail detail,short short,much much,used used,apps apps,multiple multiple,detailed detailed,report report,insightful insightful,daily daily,weekly weekly,monthly monthly,report report,great great,analytics analytics,daily daily,consolidated consolidated,report report,get get,delivered delivered,everyday everyday,notification notification,premium premium,member member,also also,option option,export export,pdf pdf,format format,weekly weekly,monthly monthly,report report,export export,data data,xlsx xlsx,format format,store store,personal personal,data data,everything everything,stored stored,local local,storage storage,entire entire,data data,exported exported,excelsheet excelsheet,since since,installation installation,date date,data data,analysis analysis,statistic statistic,purpose purpose,widget widget,everything everything,screen screen,user user,also also,enable enable,cool cool,widget widget,home home,screen screen,get get,summarized summarized,view view,without without,launch launch,app app,day day,striving striving,hard hard,make make,everyone everyone,live live,healthy healthy,digital digital,life life,stay stay,smart smart,stay stay,healthy healthy,credit credit,freely freely,available available,image image,used used,go go,kirsty kirsty,barnby barnby,ryan ryan,stone"
